split_index,split_rank,cell_id,assignment
0,48297,b1c0,test
0,48297,b1c1,test
0,48297,b1c11,train
0,48297,b1c14,test
0,48297,b1c15,test
0,48297,b1c16,train
0,48297,b1c17,train
0,48297,b1c18,train
0,48297,b1c19,train
0,48297,b1c2,test
0,48297,b1c20,test
0,48297,b1c21,test
0,48297,b1c23,train
0,48297,b1c24,test
0,48297,b1c25,test
0,48297,b1c26,test
0,48297,b1c27,test
0,48297,b1c28,train
0,48297,b1c29,train
0,48297,b1c3,test
0,48297,b1c30,train
0,48297,b1c31,train
0,48297,b1c32,test
0,48297,b1c33,test
0,48297,b1c34,test
0,48297,b1c35,test
0,48297,b1c36,train
0,48297,b1c37,train
0,48297,b1c38,train
0,48297,b1c39,train
0,48297,b1c4,test
0,48297,b1c40,train
0,48297,b1c41,train
0,48297,b1c42,train
0,48297,b1c43,train
0,48297,b1c44,train
0,48297,b1c45,train
0,48297,b1c5,train
0,48297,b1c6,test
0,48297,b1c7,test
0,48297,b1c9,test
0,48297,b2c0,train
0,48297,b2c10,test
0,48297,b2c11,train
0,48297,b2c12,test
0,48297,b2c13,train
0,48297,b2c14,test
0,48297,b2c17,train
0,48297,b2c18,test
0,48297,b2c19,train
0,48297,b2c2,train
0,48297,b2c20,test
0,48297,b2c21,train
0,48297,b2c22,test
0,48297,b2c23,train
0,48297,b2c24,test
0,48297,b2c25,test
0,48297,b2c26,test
0,48297,b2c27,train
0,48297,b2c28,test
0,48297,b2c29,train
0,48297,b2c3,test
0,48297,b2c30,test
0,48297,b2c31,train
0,48297,b2c32,test
0,48297,b2c33,train
0,48297,b2c34,test
0,48297,b2c35,train
0,48297,b2c36,test
0,48297,b2c37,train
0,48297,b2c38,test
0,48297,b2c39,train
0,48297,b2c4,train
0,48297,b2c40,test
0,48297,b2c41,train
0,48297,b2c42,test
0,48297,b2c43,train
0,48297,b2c44,test
0,48297,b2c45,train
0,48297,b2c46,test
0,48297,b2c47,test
0,48297,b2c5,test
0,48297,b2c6,train
1,106382,b1c0,test
1,106382,b1c1,test
1,106382,b1c11,train
1,106382,b1c14,train
1,106382,b1c15,train
1,106382,b1c16,train
1,106382,b1c17,train
1,106382,b1c18,test
1,106382,b1c19,test
1,106382,b1c2,test
1,106382,b1c20,train
1,106382,b1c21,train
1,106382,b1c23,test
1,106382,b1c24,train
1,106382,b1c25,train
1,106382,b1c26,test
1,106382,b1c27,test
1,106382,b1c28,train
1,106382,b1c29,train
1,106382,b1c3,train
1,106382,b1c30,test
1,106382,b1c31,test
1,106382,b1c32,test
1,106382,b1c33,test
1,106382,b1c34,test
1,106382,b1c35,test
1,106382,b1c36,train
1,106382,b1c37,train
1,106382,b1c38,train
1,106382,b1c39,train
1,106382,b1c4,train
1,106382,b1c40,train
1,106382,b1c41,train
1,106382,b1c42,train
1,106382,b1c43,train
1,106382,b1c44,test
1,106382,b1c45,test
1,106382,b1c5,test
1,106382,b1c6,test
1,106382,b1c7,test
1,106382,b1c9,test
1,106382,b2c0,train
