universe,cell_id,a_split,protocol_sha256
primary83,b1c0,test,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d
primary83,b1c1,train,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d
primary83,b1c11,train,6a0854f39e01ed9089f08d48a4c35ff518a730e68579d00e01f32e026a77ccd8
primary83,b1c14,test,3f2f94e31b6d58b405e9723d0625cc790506c96b3c08dfecb467a2b9ca1d06c1
primary83,b1c15,train,3f2f94e31b6d58b405e9723d0625cc790506c96b3c08dfecb467a2b9ca1d06c1
primary83,b1c16,test,bfbcb93641d5f8f5117f4691d7bffa03b2801d92fa738bd24c301f60c622a28e
primary83,b1c17,train,bfbcb93641d5f8f5117f4691d7bffa03b2801d92fa738bd24c301f60c622a28e
primary83,b1c18,test,7fb1a5f17d584ecab948661f10dcc517ea4a8cb3f8c9328cb3978dbd6aa60033
primary83,b1c19,train,7fb1a5f17d584ecab948661f10dcc517ea4a8cb3f8c9328cb3978dbd6aa60033
primary83,b1c2,test,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d
primary83,b1c20,test,8e3974149efe8178e1b015e708537cd14c12defc61c70d503bc664b37b3c1664
primary83,b1c21,train,8e3974149efe8178e1b015e708537cd14c12defc61c70d503bc664b37b3c1664
primary83,b1c23,test,68145c7d3e34c571462e4b0fa15739509e3d5d08fb6c8bd0392c5014863cc427
primary83,b1c24,train,9a3171382824d4d47bfcddccf8544623f8b3d8e68281e0b77f443082f770a51e
primary83,b1c25,test,9a3171382824d4d47bfcddccf8544623f8b3d8e68281e0b77f443082f770a51e
primary83,b1c26,train,2b5ec8ec173ad6c2f50b2ef54ddd4b3d0f87f82769281254ce0363042adef6fa
primary83,b1c27,test,2b5ec8ec173ad6c2f50b2ef54ddd4b3d0f87f82769281254ce0363042adef6fa
primary83,b1c28,train,a9651309ba48eedae64a525abce2828b02209cf31d8f0aab5eb9771b6b233b23
primary83,b1c29,test,a9651309ba48eedae64a525abce2828b02209cf31d8f0aab5eb9771b6b233b23
primary83,b1c3,train,86150dc23806b8057848434b3500b222d1bff476d4e2fdcef6a159369ca4c980
primary83,b1c30,train,2ecc46aabd28470861083057b77d7805b39ea6c3f15c56a20fa78b01f616694a
primary83,b1c31,test,2ecc46aabd28470861083057b77d7805b39ea6c3f15c56a20fa78b01f616694a
primary83,b1c32,train,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f
primary83,b1c33,test,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f
